id,set,order,type,option,title,description,next,route,logic,rule
個案：不定期契約停止履行：繼續履行原約：前後契約間斷期間（月數）,,25,input,,測試標題,測試說明文字,,,&&,契約約期|==|non_fixed;個案：不定期契約停止履行？|==|true;個案：不定期契約停止履行：繼續履行原約？|==|true
個案：不定期契約停止履行：繼續履行原約：前後工作年資合併計算？,,26,select,boolean,測試標題,測試說明文字,,,&&,契約約期|==|non_fixed;個案：不定期契約停止履行？|==|true;個案：不定期契約停止履行：繼續履行原約？|==|true
個案：不定期契約停止履行：另訂新約？,,27,select,boolean,測試標題,測試說明文字,,,&&,契約約期|==|non_fixed;個案：不定期契約停止履行？|==|true
個案：不定期契約停止履行：另訂新約：前後契約間斷期間（月數）,,28,input,,測試標題,測試說明文字,,,&&,契約約期|==|non_fixed;個案：不定期契約停止履行？|==|true;個案：不定期契約停止履行：另訂新約？|==|true
個案：不定期契約停止履行：另訂新約：前後工作年資合併計算？,,29,select,boolean,測試標題,測試說明文字,,,&&,契約約期|==|non_fixed;個案：不定期契約停止履行？|==|true;個案：不定期契約停止履行：另訂新約？|==|true
勞工：假日：特別休假日（日數，每年）,,30,input,,測試標題,測試說明文字,report,,,
工作設定：工時制度,hours,31,select,workingHour,測試標題,測試說明文字,,;勞工：工會？;勞工：工會？;勞工：工會？;;,,
工作設定：工時制度：一般：正常工作時間（時數，每日）,,32,input,,測試標題,測試說明文字,,,&&,工作設定：工時制度|==|default
工作設定：工時制度：一般：正常工作時間（時數，每週）,,33,input,,測試標題,測試說明文字,,,&&,工作設定：工時制度|==|default
工作設定：工時制度：一般：例假（日數，每七日）,,34,input,,測試標題,測試說明文字,,,&&,工作設定：工時制度|==|default
工作設定：工時制度：一般：放假（日數，每七日）,,35,input,,測試標題,測試說明文字,工作設定：工時制度：主管機關命令調整？,,&&,工作設定：工時制度|==|default
勞工：工會？,,36,select,boolean,測試標題,測試說明文字,,,,
工作設定：工時制度：兩週變形：指定行業？,,37,select,boolean,測試標題,測試說明文字,,,&&,工作設定：工時制度|==|transformed_2w
工作設定：工時制度：兩週變形：工會同意？,,38,select,boolean,測試標題,測試說明文字,,,&&,工作設定：工時制度|==|transformed_2w;勞工：工會？|==|true
工作設定：工時制度：兩週變形：勞資會議同意？,,39,select,boolean,測試標題,測試說明文字,,,&&,工作設定：工時制度|==|transformed_2w
工作設定：工時制度：兩週變形：正常工作時間（時數，每週）,,40,input,,測試標題,測試說明文字,,,&&,工作設定：工時制度|==|transformed_2w
工作設定：工時制度：兩週變形：正常工作時間：自其他工作日分配（時數，每日）,,41,input,,測試標題,測試說明文字,,,&&,工作設定：工時制度|==|transformed_2w
工作設定：工時制度：兩週變形：正常工作時間：分配至其他工作日（日數，每二週）,,42,input,,測試標題,測試說明文字,,,&&,工作設定：工時制度|==|transformed_2w
工作設定：工時制度：兩週變形：例假（日數，每二週）,,43,input,,測試標題,測試說明文字,,,&&,工作設定：工時制度|==|transformed_2w
工作設定：工時制度：兩週變形：放假（日數，每二週）,,44,input,,測試標題,測試說明文字,工作設定：工時制度：主管機關命令調整？,,&&,工作設定：工時制度|==|transformed_2w
工作設定：工時制度：八週變形：指定行業？,,45,select,boolean,測試標題,測試說明文字,,,&&,工作設定：工時制度|==|transformed_8w
工作設定：工時制度：八週變形：工會同意？,,46,select,boolean,測試標題,測試說明文字,,,&&,工作設定：工時制度|==|transformed_8w;勞工：工會？|==|true
工作設定：工時制度：八週變形：勞資會議同意？,,47,select,boolean,測試標題,測試說明文字,,,&&,工作設定：工時制度|==|transformed_8w
工作設定：工時制度：八週變形：正常工作時間（時數，每日）,,48,input,,測試標題,測試說明文字,,,&&,工作設定：工時制度|==|transformed_8w
工作設定：工時制度：八週變形：正常工作時間（時數，每週）,,49,input,,測試標題,測試說明文字,,,&&,工作設定：工時制度|==|transformed_8w
工作設定：工時制度：八週變形：放假（日數，每八週）,,50,input,,測試標題,測試說明文字,工作設定：工時制度：主管機關命令調整？,,&&,工作設定：工時制度|==|transformed_8w
工作設定：工時制度：四週變形：指定行業？,,51,select,boolean,測試標題,測試說明文字,,,&&,工作設定：工時制度|==|transformed_4w
工作設定：工時制度：四週變形：工會同意？,,52,select,boolean,測試標題,測試說明文字,,,&&,工作設定：工時制度|==|transformed_4w;勞工：工會？|==|true
工作設定：工時制度：四週變形：勞資會議同意？,,53,select,boolean,測試標題,測試說明文字,,,&&,工作設定：工時制度|==|transformed_4w
工作設定：工時制度：四週變形：正常工作時間（時數，每日）,,54,input,,測試標題,測試說明文字,,,&&,工作設定：工時制度|==|transformed_4w
工作設定：工時制度：四週變形：正常工作時間：自其他工作日分配（時數，每日）,,55,input,,測試標題,測試說明文字,,,&&,工作設定：工時制度|==|transformed_4w
工作設定：工時制度：四週變形：放假（日數，每四週）,,56,input,,測試標題,測試說明文字,工作設定：工時制度：主管機關命令調整？,,&&,工作設定：工時制度|==|transformed_4w
工作設定：工時制度：主管機關命令調整？,,57,select,boolean,測試標題,測試說明文字,,,,
工作設定：工時制度：主管機關命令調整：公眾生活便利或其他特殊原因？,,58,select,boolean,測試標題,測試說明文字,,,&&,工作設定：工時制度：主管機關命令調整？|==|true
工作設定：班表：輪班制？,,59,select,boolean,測試標題,測試說明文字,,;工作設定：班表：休息（分鐘數，每連續四小時）;,,
工作設定：班表：輪班制：每週換班？,,60,select,boolean,測試標題,測試說明文字,,,&&,工作設定：班表：輪班制？|==|true
工作設定：班表：輪班制：勞工同意不每週換班？,,61,select,boolean,測試標題,測試說明文字,,,&&,工作設定：班表：輪班制？|==|true
工作設定：班表：輪班制：換班連續十一小時休息？,,62,select,boolean,測試標題,測試說明文字,,,&&,工作設定：班表：輪班制？|==|true
工作設定：班表：休息（分鐘數，每連續四小時）,,63,input,,測試標題,測試說明文字,,,,
工作設定：工作場所：坑內：非監視？,,64,select,boolean,測試標題,測試說明文字,report,,,
個案：雇主終止勞動契約？,leave,65,select,boolean,測試標題,測試說明文字,,個案：雇主終止勞動契約：預告（日數）;契約：競業禁止？;,,
個案：雇主終止勞動契約：預告（日數）,,66,input,,測試標題,測試說明文字,,,&&,個案：雇主終止勞動契約？|==|true
個案：雇主終止勞動契約：給付預告期間工資？,,67,select,boolean,測試標題,測試說明文字,,,&&,個案：雇主終止勞動契約？|==|true
個案：雇主終止勞動契約：勞工另謀工作請假：時數（日數，每週）,,68,input,,測試標題,測試說明文字,,,&&,個案：雇主終止勞動契約？|==|true
個案：雇主終止勞動契約：勞工另謀工作請假：工資照給？,,69,select,boolean,測試標題,測試說明文字,,,&&,個案：雇主終止勞動契約？|==|true
個案：雇主終止勞動契約：資遣費（金額）,,70,input,,測試標題,測試說明文字,,,&&,個案：雇主終止勞動契約？|==|true
個案：雇主終止勞動契約：資遣費：終止到發給期間（日數）,,71,input,,測試標題,測試說明文字,,,&&,個案：雇主終止勞動契約？|==|true
個案：當日：前六個月總日數（日數）,,72,input,,測試標題,測試說明文字,,,,
個案：當日：前六個月工作日數（日數）,,73,input,,測試標題,測試說明文字,,,,
個案：當日：前六個月工資總額（金額）,,74,input,,測試標題,測試說明文字,,,,
個案：當日：平均工資（金額，每日）,,75,input,,測試標題,測試說明文字,,,,
個案：當日：平均工資（金額，每月）,,76,input,,測試標題,測試說明文字,,,,
個案：工作期間工作日數（日數）,,77,input,,測試標題,測試說明文字,,,,
個案：工作期間工資總額（金額）,,78,input,,測試標題,測試說明文字,,,,
個案：工作期間總日數（日數）,,79,input,,測試標題,測試說明文字,,,,
契約：競業禁止？,,80,select,boolean,測試標題,測試說明文字,,;report;report,,
契約：競業禁止：勞工工作接觸營業秘密？,,81,select,boolean,測試標題,測試說明文字,,,&&,契約：競業禁止？|==|true
契約：競業禁止：雇主有應受保護之正當營業利益？,,82,select,boolean,測試標題,測試說明文字,,,&&,契約：競業禁止？|==|true
契約：競業禁止：期間（年數）,,83,input,,測試標題,測試說明文字,,,&&,契約：競業禁止？|==|true
契約：競業禁止：期間、區域、範圍、就業對象合理？,,84,select,boolean,測試標題,測試說明文字,,,&&,契約：競業禁止？|==|true
契約：競業禁止：合理補償？,,85,select,boolean,測試標題,測試說明文字,,,&&,契約：競業禁止？|==|true
契約：競業禁止：合理補償：包括工作給付？,,86,select,boolean,測試標題,測試說明文字,report,,&&,契約：競業禁止？|==|true;契約：競業禁止：合理補償？|==|true
工作性質：連續性或緊急性？,overtime,87,select,boolean,測試標題,測試說明文字,,,,
個案：延長工作時間：突發？,,88,select,boolean,測試標題,測試說明文字,,;個案：延長工作時間：非突發：工會同意？;個案：延長工作時間：勞工正當理由不接受？,,
個案：延長工作時間：突發：假日種類,,89,select,holiday,測試標題,測試說明文字,,,&&,個案：延長工作時間：突發？|==|true
個案：延長工作時間：突發：二十四小時內通知工會？,,90,select,boolean,測試標題,測試說明文字,,,&&,個案：延長工作時間：突發？|==|true
個案：延長工作時間：突發：二十四小時內報當地主管機關？,,91,select,boolean,測試標題,測試說明文字,,,&&,個案：延長工作時間：突發？|==|true
個案：延長工作時間：突發（時數）,,92,input,,測試標題,測試說明文字,,,&&,個案：延長工作時間：突發？|==|true
個案：延長工作時間：突發：事後補休？,,93,select,boolean,測試標題,測試說明文字,,,&&,個案：延長工作時間：突發？|==|true
個案：延長工作時間：突發：工資（金額，每小時）,,94,input,,測試標題,測試說明文字,個案：延長工作時間：勞工正當理由不接受？,,&&,個案：延長工作時間：突發？|==|true
個案：延長工作時間：非突發：工會同意？,,95,select,boolean,測試標題,測試說明文字,,,&&,個案：延長工作時間：突發？|==|false
個案：延長工作時間：非突發：勞資會議同意？,,96,select,boolean,測試標題,測試說明文字,,,&&,個案：延長工作時間：突發？|==|false
個案：延長工作時間：非突發：總工作時間（時數，每日）,,97,input,,測試標題,測試說明文字,,,&&,個案：延長工作時間：突發？|==|false
個案：延長工作時間：非突發：總延長工作時間（時數，每月）,,98,input,,測試標題,測試說明文字,,,&&,個案：延長工作時間：突發？|==|false
個案：延長工作時間：非突發：平日？,,99,select,boolean,測試標題,測試說明文字,,,&&,個案：延長工作時間：突發？|==|false
個案：延長工作時間：非突發：平日（時數）,,100,input,,測試標題,測試說明文字,,,&&,個案：延長工作時間：突發？|==|false;個案：延長工作時間：非突發：平日？|==|true
個案：延長工作時間：非突發：平日：工資（金額）,,101,input,,測試標題,測試說明文字,,,&&,個案：延長工作時間：突發？|==|false;個案：延長工作時間：非突發：平日？|==|true
個案：延長工作時間：非突發：平日：四週變形（時數，每日）,,102,input,,測試標題,測試說明文字,,,&&,個案：延長工作時間：突發？|==|false;個案：延長工作時間：非突發：平日？|==|true
個案：延長工作時間：非突發：休息日？,,103,select,boolean,測試標題,測試說明文字,,,&&,個案：延長工作時間：突發？|==|false
個案：延長工作時間：非突發：休息日（時數）,,104,input,,測試標題,測試說明文字,,,&&,個案：延長工作時間：突發？|==|false;個案：延長工作時間：非突發：休息日？|==|true
個案：延長工作時間：非突發：休息日：工資（金額）,,105,input,,測試標題,測試說明文字,,,&&,個案：延長工作時間：突發？|==|false;個案：延長工作時間：非突發：休息日？|==|true
個案：延長工作時間：非突發：國定假日？,,106,select,boolean,測試標題,測試說明文字,,,&&,個案：延長工作時間：突發？|==|false
個案：延長工作時間：非突發：國定假日：勞工同意？,,107,select,boolean,測試標題,測試說明文字,,,&&,個案：延長工作時間：突發？|==|false;個案：延長工作時間：非突發：國定假日？|==|true
個案：延長工作時間：非突發：國定假日：工資（金額，每小時）,,108,input,,測試標題,測試說明文字,,,&&,個案：延長工作時間：突發？|==|false;個案：延長工作時間：非突發：國定假日？|==|true
個案：延長工作時間：非突發：特別休假日？,,109,select,boolean,測試標題,測試說明文字,,,&&,個案：延長工作時間：突發？|==|false
個案：延長工作時間：非突發：特別休假日：勞工同意？,,110,select,boolean,測試標題,測試說明文字,,,&&,個案：延長工作時間：突發？|==|false;個案：延長工作時間：非突發：特別休假日？|==|true
個案：延長工作時間：非突發：特別休假日：主管機關認有必要？,,111,select,boolean,測試標題,測試說明文字,,,&&,個案：延長工作時間：突發？|==|false;個案：延長工作時間：非突發：特別休假日？|==|true
個案：延長工作時間：非突發：特別休假日：工資（金額，每小時）,,112,input,,測試標題,測試說明文字,,,&&,個案：延長工作時間：突發？|==|false;個案：延長工作時間：非突發：特別休假日？|==|true
個案：延長工作時間：勞工正當理由不接受？,,113,select,boolean,測試標題,測試說明文字,report,,,
